id,week,team,points,talent,outcome,spread,opponent,home,win,cover,totalYards,rushingYards,netPassingYards,yardsPerPass,yardsPerRushAttempt,firstDowns,turnovers,interceptions,fumblesLost,defensiveTDs,tacklesForLoss,sacks,qbHurries,kickReturnYards,kickReturnTDs,test,wins,games,win_pct,points_MA,MOV_MA,totalYards_MA,rushYards_MA,passYards_MA,YardsPerPass_MA,YardsPerRush_MA,firstDowns_MA,turnovers_MA,interceptions_MA,fumbles_MA,defensiveTDs_MA,TFLs_MA,qbHurries_MA,sacks_MA,kickReturnYards_MA,kickReturnTDs_MA,team_opp,points_opp,talent_opp,outcome_opp,spread_opp,opponent_opp,home_opp,win_opp,cover_opp,totalYards_opp,rushingYards_opp,netPassingYards_opp,yardsPerPass_opp,yardsPerRushAttempt_opp,firstDowns_opp,turnovers_opp,interceptions_opp,fumblesLost_opp,defensiveTDs_opp,tacklesForLoss_opp,sacks_opp,qbHurries_opp,kickReturnYards_opp,kickReturnTDs_opp,test_opp,wins_opp,games_opp,win_pct_opp,points_MA_opp,MOV_MA_opp,totalYards_MA_opp,rushYards_MA_opp,passYards_MA_opp,YardsPerPass_MA_opp,YardsPerRush_MA_opp,firstDowns_MA_opp,turnovers_MA_opp,interceptions_MA_opp,fumbles_MA_opp,defensiveTDs_MA_opp,TFLs_MA_opp,qbHurries_MA_opp,sacks_MA_opp,kickReturnYards_MA_opp,kickReturnTDs_MA_opp,def_points_MA,def_MOV_MA,def_totalYards_MA,def_rushYards_MA,def_passYards_MA,def_YardsPerRush_MA,def_YardsPerPass_MA,def_firstDowns_MA,def_turnovers_MA,def_interceptions_MA,def_fumbles_MA,def_defensiveTDs_MA,def_sacks_MA,def_TFLs_MA,def_qbHurries_MA,def_kickReturnYards_MA,def_kickReturnTDs_MA,team_opp,opponent_opp,def_points_MA_opp,def_MOV_MA_opp,def_totalYards_MA_opp,def_rushYards_MA_opp,def_passYards_MA_opp,def_YardsPerRush_MA_opp,def_YardsPerPass_MA_opp,def_firstDowns_MA_opp,def_turnovers_MA_opp,def_interceptions_MA_opp,def_fumbles_MA_opp,def_defensiveTDs_MA_opp,def_sacks_MA_opp,def_TFLs_MA_opp,def_qbHurries_MA_opp,def_kickReturnYards_MA_opp,def_kickReturnTDs_MA_opp
401110824,8,Alabama,35,984.96,-22,-35.0,Tennessee,1,1,0,373,140,233,9.7,4.1,23,1,1,0,2,14,6,3,43,0,1,6.0,6.0,1.0,50.5,6.75,526.5,140.5,386.0,11.524999999999999,4.549999999999999,25.5,0.75,0.5,0.25,0.75,10.5,6.5,3.0,54.25,0.0,Tennessee,13,830.34,-22,-35.0,Alabama,0,0,1,231,114,117,4.9,3.1,18,2,1,1,0,6,4,1,79,0,1,2.0,6.0,0.3333333333333333,20.5,14.25,324.75,135.75,189.0,8.575000000000001,3.775,17.0,2.0,1.5,0.5,0.25,6.75,3.25,2.25,18.0,0.0,22.25,17.270833333333332,387.5,147.75,239.75,3.9,6.325,23.75,1.5,0.75,0.75,0.0,2.25,10.0,1.75,37.75,0.0,Tennessee,Alabama,21.75,16.805555555555554,365.25,159.5,205.75,4.0,7.250000000000001,21.5,2.75,2.25,0.5,0.25,2.0,5.5,0.5,2.25,0.0
401110861,13,Missouri,20,642.83,4,-2.5,Tennessee,1,0,0,280,99,181,6.2,2.7,16,0,0,0,0,2,1,2,0,0,1,5.0,10.0,0.5,6.75,9.75,259.0,95.0,164.0,5.174999999999999,2.85,14.5,1.25,0.75,0.5,0.0,9.0,0.75,1.5,24.75,0.0,Tennessee,24,830.34,4,-2.5,Missouri,0,1,1,526,111,415,10.1,3.5,26,1,0,1,0,6,2,3,0,0,1,5.0,10.0,0.5,25.25,15.25,328.5,113.0,215.5,7.950000000000001,3.375,17.75,1.0,0.5,0.5,0.5,6.25,3.25,3.75,19.75,0.0,25.0,4.375,350.0,167.25,182.75,4.1000000000000005,7.949999999999998,16.5,0.75,0.25,0.5,0.0,4.0,9.0,3.25,4.75,0.0,Tennessee,Missouri,19.0,8.8125,333.5,145.75,187.75,3.4750000000000005,6.350000000000001,19.5,1.5,1.25,0.25,0.5,2.25,8.75,3.0,25.0,0.0
401110809,5,Florida,38,835.68,-38,-37.0,Towson,1,1,1,422,160,262,9.4,5.0,23,0,0,0,0,8,8,14,11,0,1,4.0,4.0,1.0,33.0,18.0,431.5,136.75,294.75,9.325,4.125,22.25,2.25,1.25,1.0,0.0,9.0,2.75,7.5,19.5,0.0,Towson,0,135.03,-38,-37.0,Florida,0,0,0,248,65,183,5.7,2.2,17,3,2,1,0,8,6,0,38,0,1,,,,,,,,,,,,,,,,,,,,,11.0,14.416666666666668,285.25,92.25,193.0,2.7750000000000004,6.549999999999999,16.5,2.5,1.75,0.75,0.0,1.75,3.25,3.5,22.0,0.0,Towson,Florida,,,,,,,,,,,,,,,,,
401110812,6,Florida,24,835.68,-11,2.5,Auburn,1,1,1,398,132,266,6.8,4.0,19,4,0,4,0,10,2,6,0,0,1,5.0,5.0,1.0,36.5,26.5,461.0,164.25,296.75,9.325,4.925,23.75,1.25,0.75,0.5,0.0,7.0,5.0,4.5,11.25,0.0,Auburn,13,843.93,-11,2.5,Florida,0,0,0,269,124,145,5.4,3.6,12,4,3,1,0,11,4,4,22,0,1,5.0,5.0,1.0,40.75,20.5,472.25,262.25,210.0,8.85,5.175000000000001,23.25,1.25,0.0,1.25,0.0,9.75,4.25,3.0,19.5,0.0,6.0,14.416666666666668,272.0,86.75,185.25,2.725,6.199999999999999,15.75,3.0,2.25,0.75,0.0,2.75,3.75,2.75,23.5,0.0,Auburn,Florida,16.25,22.979166666666664,317.25,96.5,220.75,3.175,6.125,18.75,1.0,0.25,0.75,0.0,1.5,9.25,2.0,10.75,0.0
401110804,4,Texas A&M,20,848.89,8,-4.0,Auburn,1,0,0,391,56,335,6.8,2.7,23,1,0,1,0,16,2,4,20,0,1,2.0,3.0,0.6666666666666666,37.666666666666664,35.666666666666664,466.6666666666667,174.0,292.6666666666667,7.333333333333333,5.133333333333334,25.0,2.0,1.0,1.0,0.0,7.0,4.333333333333333,1.6666666666666667,11.666666666666666,0.0,Auburn,28,843.93,8,-4.0,Texas A&M,0,1,1,299,193,106,5.0,4.6,16,0,0,0,0,7,3,7,31,0,1,3.0,3.0,1.0,35.333333333333336,21.0,465.0,281.6666666666667,183.33333333333334,6.966666666666666,5.366666666666667,24.333333333333332,1.3333333333333333,0.6666666666666666,0.6666666666666666,0.0,11.0,3.6666666666666665,2.6666666666666665,15.333333333333334,0.0,11.333333333333334,38.0,268.3333333333333,83.66666666666667,184.66666666666666,2.8000000000000003,5.066666666666667,16.666666666666668,2.0,1.6666666666666667,0.3333333333333333,0.0,1.3333333333333333,3.0,4.666666666666667,31.333333333333332,0.0,Auburn,Texas A&M,14.333333333333334,25.5,292.0,100.66666666666667,191.33333333333334,3.1999999999999997,5.3,16.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.0,1.0,7.333333333333333,3.0,21.333333333333332,0.0
401110825,8,Arkansas,10,707.72,41,19.5,Auburn,1,0,0,234,52,182,4.6,1.9,14,4,2,2,0,3,2,2,55,0,1,2.0,6.0,0.3333333333333333,31.5,3.5,426.75,156.75,270.0,6.7749999999999995,5.0249999999999995,22.75,1.75,1.5,0.25,1.0,6.5,2.75,3.25,33.75,0.0,Auburn,51,843.93,41,19.5,Arkansas,0,1,1,491,298,193,10.2,5.8,24,1,0,1,0,9,6,6,48,0,1,5.0,6.0,0.8333333333333334,38.0,18.75,444.75,250.25,194.5,8.799999999999999,5.125000000000001,21.25,1.75,0.75,1.0,0.0,11.25,4.25,4.0,21.0,0.0,30.0,14.625,421.5,185.0,236.5,4.699999999999999,7.2250000000000005,22.5,1.5,0.5,1.0,0.0,1.5,5.0,5.75,31.75,0.0,Auburn,Arkansas,20.75,22.604166666666664,361.0,99.5,261.5,3.175,7.075,20.5,1.75,0.0,1.75,0.0,2.0,10.5,3.0,10.75,0.0
401110833,9,LSU,23,906.17,-3,-11.5,Auburn,1,1,0,508,187,321,7.6,4.1,30,2,1,1,0,8,3,3,0,0,1,7.0,7.0,1.0,46.5,-0.25,531.0,183.25,347.75,10.400000000000002,5.6,25.25,1.0,0.5,0.5,0.25,10.75,5.25,3.25,37.5,0.0,Auburn,20,843.93,-3,-11.5,LSU,0,0,1,287,130,157,4.4,3.9,16,1,1,0,0,12,6,0,59,0,1,6.0,7.0,0.8571428571428571,37.0,-1.25,409.25,208.0,201.25,8.899999999999999,4.700000000000001,19.25,2.0,0.75,1.25,0.0,8.0,4.5,4.25,30.5,0.0,21.25,10.8125,332.5,103.0,229.5,2.925,6.499999999999999,19.0,2.25,2.0,0.25,0.25,2.75,6.0,2.5,12.25,0.0,Auburn,LSU,19.25,17.729166666666664,339.25,89.5,249.75,2.925,6.625,19.25,2.75,0.5,2.25,0.0,2.0,8.75,3.5,22.75,0.0
401110838,10,Florida,17,835.68,7,6.5,Georgia,1,0,0,278,21,257,7.8,1.1,18,0,0,0,0,6,0,2,18,0,1,7.0,8.0,0.875,32.0,13.0,407.75,148.0,259.75,7.349999999999999,4.450000000000001,22.0,1.5,0.5,1.0,0.0,8.5,8.5,3.25,6.75,0.0,Georgia,24,960.16,7,6.5,Florida,0,1,1,398,119,279,9.3,3.2,20,0,0,0,0,1,2,1,63,0,1,6.0,7.0,0.8571428571428571,26.0,-1.25,400.75,199.5,201.25,6.425000000000002,4.975,22.0,1.25,0.75,0.5,0.25,6.0,0.5,1.25,5.0,0.0,20.5,12.0,353.75,156.0,197.75,4.9750000000000005,7.049999999999999,16.75,2.0,1.25,0.75,0.0,4.0,8.75,3.0,41.5,0.0,Georgia,Florida,12.75,14.75,284.5,104.5,180.0,3.55,5.025000000000002,14.75,1.25,0.75,0.5,0.5,1.5,6.0,0.0,21.0,0.0
401110816,6,Tennessee,14,830.34,29,24.5,Georgia,1,0,0,343,70,273,8.3,2.4,20,2,1,1,0,2,0,0,0,0,1,1.0,4.0,0.25,26.0,16.25,355.25,154.5,200.75,7.049999999999999,4.075,18.75,2.0,1.25,0.75,0.25,5.75,5.75,3.5,37.5,0.0,Georgia,43,960.16,29,24.5,Tennessee,0,1,1,526,238,288,9.9,5.8,26,0,0,0,1,11,3,2,0,0,1,4.0,4.0,1.0,42.75,20.75,508.75,253.0,255.75,9.375,6.875,23.75,1.0,0.25,0.75,0.25,7.5,1.0,4.5,24.5,0.0,25.25,-2.166666666666667,339.75,149.75,190.0,3.625,6.3999999999999995,20.5,2.25,1.5,0.75,0.0,2.25,6.0,1.25,0.0,0.0,Georgia,Tennessee,10.0,0.25,262.5,57.0,205.5,2.4,5.4,14.0,1.5,1.0,0.5,0.25,0.25,5.25,1.0,15.75,0.0
401110732,1,Vanderbilt,6,605.06,24,23.5,Georgia,1,0,0,225,116,109,3.4,3.9,17,1,0,1,0,4,0,4,35,0,1,,,,,,,,,,,,,,,,,,,,,Georgia,30,960.16,24,23.5,Vanderbilt,0,1,1,479,323,156,6.8,8.1,25,1,0,1,0,6,4,4,41,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Georgia,Vanderbilt,,,,,,,,,,,,,,,,,
