gameId,week,team,opponent,offense.plays,offense.drives,offense.ppa,offense.totalPPA,offense.successRate,offense.explosiveness,offense.powerSuccess,offense.stuffRate,offense.lineYards,offense.lineYardsTotal,offense.secondLevelYards,offense.secondLevelYardsTotal,offense.openFieldYards,offense.openFieldYardsTotal,offense.standardDowns.ppa,offense.standardDowns.successRate,offense.standardDowns.explosiveness,offense.passingDowns.ppa,offense.passingDowns.successRate,offense.passingDowns.explosiveness,offense.rushingPlays.ppa,offense.rushingPlays.totalPPA,offense.rushingPlays.successRate,offense.rushingPlays.explosiveness,offense.passingPlays.ppa,offense.passingPlays.totalPPA,offense.passingPlays.successRate,offense.passingPlays.explosiveness,defense.plays,defense.drives,defense.ppa,defense.totalPPA,defense.successRate,defense.explosiveness,defense.powerSuccess,defense.stuffRate,defense.lineYards,defense.lineYardsTotal,defense.secondLevelYards,defense.secondLevelYardsTotal,defense.openFieldYards,defense.openFieldYardsTotal,defense.standardDowns.ppa,defense.standardDowns.successRate,defense.standardDowns.explosiveness,defense.passingDowns.ppa,defense.passingDowns.successRate,defense.passingDowns.explosiveness,defense.rushingPlays.ppa,defense.rushingPlays.totalPPA,defense.rushingPlays.successRate,defense.rushingPlays.explosiveness,defense.passingPlays.ppa,defense.passingPlays.totalPPA,defense.passingPlays.successRate,defense.passingPlays.explosiveness
401110720,1,Alabama,Duke,73,13,0.4178300404450844,30.501592952491162,0.5616438356164384,1.222212594607146,0.5833333333333334,0.2894736842105263,2.4210526315789473,92,0.8421052631578947,32,1.1842105263157896,45,0.3898218354240243,0.5818181818181818,1.217181402457106,0.5034106668983236,0.5,1.2401012778072882,0.03621807724841956,1.3762869354399432,0.4473684210526316,0.9981323620233762,0.8321516004871776,29.12530601705122,0.6857142857142857,1.3809360926873162,51,11,-0.27669260839599624,-14.111323028195809,0.21568627450980393,1.1828039213477277,0.3333333333333333,0.1724137931034483,2.696551724137931,78,0.6551724137931034,19,0.27586206896551724,8,-0.49424526219612985,0.25,0.905056326201203,0.08971186116212349,0.15789473684210525,1.9234641750717933,-0.3065642129083394,-8.890362174341842,0.20689655172413793,0.7983700151822968,-0.2086869130268938,-4.38242517356477,0.19047619047619047,2.264789681005105
401110720,1,Duke,Alabama,51,11,-0.27669260839599624,-14.111323028195809,0.21568627450980393,1.1828039213477277,0.3333333333333333,0.1724137931034483,2.696551724137931,78,0.6551724137931034,19,0.27586206896551724,8,-0.49424526219612985,0.25,0.905056326201203,0.08971186116212349,0.15789473684210525,1.9234641750717933,-0.3065642129083394,-8.890362174341842,0.20689655172413793,0.7983700151822968,-0.2086869130268938,-4.38242517356477,0.19047619047619047,2.264789681005105,73,13,0.4178300404450844,30.501592952491162,0.5616438356164384,1.222212594607146,0.5833333333333334,0.2894736842105263,2.4210526315789473,92,0.8421052631578947,32,1.1842105263157896,45,0.3898218354240243,0.5818181818181818,1.217181402457106,0.5034106668983236,0.5,1.2401012778072882,0.03621807724841956,1.3762869354399432,0.4473684210526316,0.9981323620233762,0.8321516004871776,29.12530601705122,0.6857142857142857,1.3809360926873162
401110721,1,Arkansas,Portland State,77,12,0.10831409117215747,8.340185020256126,0.42857142857142855,1.1176797971147325,1,0.1,3.53,141,1.3,52,0.975,39,0.1168617509325064,0.48148148148148145,0.9464838078182252,0.0882456726043817,0.30434782608695654,1.7535506145017596,0.21082063145014124,8.43282525800565,0.45,1.0027219513350765,0.036103064902971105,1.2636072716039888,0.37142857142857144,1.5531296684698699,60,11,-0.0376992631762956,-2.261955790577736,0.25,1.6072069468328516,0,0.14285714285714285,2.8,59,1.2857142857142858,27,1.9047619047619049,40,-0.23185985003296497,0.28125,0.9799497989492993,0.18419855037418367,0.21428571428571427,2.54809266865818,0.052288758908657966,1.0980639370818173,0.19047619047619047,1.9237477284714082,-0.13350477699612184,-4.939676748856508,0.24324324324324326,1.6481618074900208
401110721,1,Portland State,Arkansas,60,11,-0.0376992631762956,-2.261955790577736,0.25,1.6072069468328516,0,0.14285714285714285,2.8,59,1.2857142857142858,27,1.9047619047619049,40,-0.23185985003296497,0.28125,0.9799497989492993,0.18419855037418367,0.21428571428571427,2.54809266865818,0.052288758908657966,1.0980639370818173,0.19047619047619047,1.9237477284714082,-0.13350477699612184,-4.939676748856508,0.24324324324324326,1.6481618074900208,77,12,0.10831409117215747,8.340185020256126,0.42857142857142855,1.1176797971147325,1,0.1,3.53,141,1.3,52,0.975,39,0.1168617509325064,0.48148148148148145,0.9464838078182252,0.0882456726043817,0.30434782608695654,1.7535506145017596,0.21082063145014124,8.43282525800565,0.45,1.0027219513350765,0.036103064902971105,1.2636072716039888,0.37142857142857144,1.5531296684698699
401110722,1,Auburn,Oregon,75,14,-0.0028167534073678347,-0.2112565055525876,0.4266666666666667,1.0525304849737893,0.875,0.225,2.895,116,1.125,45,1.475,59,0.08477222449017865,0.46938775510204084,1.1079557418681758,-0.16788828867582084,0.34615384615384615,0.9108881617992461,0.10702669472140859,4.281067788856343,0.5,0.8129713148274813,-0.12007931756566703,-3.962617479667012,0.30303030303030304,1.7951256037353547,66,14,0.11044885235671836,7.289624255543412,0.3333333333333333,1.243797005409704,0.6666666666666666,0.18518518518518517,2.1555555555555554,58,0.5185185185185185,14,0.25925925925925924,7,-0.03815180180581155,0.3333333333333333,1.0879340448708097,0.5067172634567981,0.3333333333333333,1.6594315668467556,-0.04052860055283988,-1.0942722149266768,0.2962962962962963,1.0548666033588405,0.21497170437102792,8.38389647047009,0.358974358974359,1.3517572351530547
401110722,1,Oregon,Auburn,66,14,0.11044885235671836,7.289624255543412,0.3333333333333333,1.243797005409704,0.6666666666666666,0.18518518518518517,2.1555555555555554,58,0.5185185185185185,14,0.25925925925925924,7,-0.03815180180581155,0.3333333333333333,1.0879340448708097,0.5067172634567981,0.3333333333333333,1.6594315668467556,-0.04052860055283988,-1.0942722149266768,0.2962962962962963,1.0548666033588405,0.21497170437102792,8.38389647047009,0.358974358974359,1.3517572351530547,75,14,-0.0028167534073678347,-0.2112565055525876,0.4266666666666667,1.0525304849737893,0.875,0.225,2.895,116,1.125,45,1.475,59,0.08477222449017865,0.46938775510204084,1.1079557418681758,-0.16788828867582084,0.34615384615384615,0.9108881617992461,0.10702669472140859,4.281067788856343,0.5,0.8129713148274813,-0.12007931756566703,-3.962617479667012,0.30303030303030304,1.7951256037353547
401110723,1,Florida,Miami,53,13,0.20108855818615284,10.6576935838661,0.37735849056603776,1.4993935433218128,1,0.2916666666666667,1.7791666666666668,43,0.5416666666666666,13,0.2916666666666667,7,0.17647812229776677,0.42857142857142855,1.4685191336097208,0.24894218352468125,0.2777777777777778,1.5920167724580896,-0.007208639088451119,-0.17300733812282687,0.2916666666666667,1.263563786571202,0.40819793301628254,11.42954212445591,0.42857142857142855,1.8118137969087356,65,11,-0.07497524188828476,-4.87339072273851,0.26153846153846155,1.7276562569781932,0,0.34615384615384615,2.123076923076923,55,1.0384615384615385,27,2.576923076923077,67,-0.3703771029136962,0.25,1.4951175027802102,0.21147504759090208,0.2727272727272727,1.9343573718208449,-0.06711211137935534,-1.744914895863239,0.23076923076923078,1.6872467284659654,-0.08819190352284591,-3.2631004303452986,0.24324324324324326,2.123561266040385
401110723,1,Miami,Florida,65,11,-0.07497524188828476,-4.87339072273851,0.26153846153846155,1.7276562569781932,0,0.34615384615384615,2.123076923076923,55,1.0384615384615385,27,2.576923076923077,67,-0.3703771029136962,0.25,1.4951175027802102,0.21147504759090208,0.2727272727272727,1.9343573718208449,-0.06711211137935534,-1.744914895863239,0.23076923076923078,1.6872467284659654,-0.08819190352284591,-3.2631004303452986,0.24324324324324326,2.123561266040385,53,13,0.20108855818615284,10.6576935838661,0.37735849056603776,1.4993935433218128,1,0.2916666666666667,1.7791666666666668,43,0.5416666666666666,13,0.2916666666666667,7,0.17647812229776677,0.42857142857142855,1.4685191336097208,0.24894218352468125,0.2777777777777778,1.5920167724580896,-0.007208639088451119,-0.17300733812282687,0.2916666666666667,1.263563786571202,0.40819793301628254,11.42954212445591,0.42857142857142855,1.8118137969087356
401110724,1,Kentucky,Toledo,62,15,0.2492135903239059,15.451242600082166,0.4838709677419355,1.2166284111286685,0.375,0.35135135135135137,2.22972972972973,83,1.1081081081081081,41,1.7297297297297296,64,0.19571770988190343,0.5510204081632653,1.0391609108285942,0.4508519089129921,0.23076923076923078,2.8138359138293376,0.0670712998129181,2.481638093077969,0.4864864864864865,0.9413780683553747,0.5310938573192127,12.746252575661103,0.4583333333333333,1.7573359247382017,64,14,0.19257284972292504,12.324662382267203,0.34375,1.5155402808197191,1,0.058823529411764705,4.020588235294118,137,1.4705882352941175,50,0.9705882352941176,33,-0.010722595692659351,0.3170731707317073,1.3624721648824727,0.5549690785072277,0.391304347826087,1.7366386705068528,0.3312364215391022,11.262038332329476,0.35294117647058826,1.3518119521269298,-0.0028199363941385515,-0.081778155430018,0.3103448275862069,1.7750822830158797
401110724,1,Toledo,Kentucky,64,14,0.19257284972292504,12.324662382267203,0.34375,1.5155402808197191,1,0.058823529411764705,4.020588235294118,137,1.4705882352941175,50,0.9705882352941176,33,-0.010722595692659351,0.3170731707317073,1.3624721648824727,0.5549690785072277,0.391304347826087,1.7366386705068528,0.3312364215391022,11.262038332329476,0.35294117647058826,1.3518119521269298,-0.0028199363941385515,-0.081778155430018,0.3103448275862069,1.7750822830158797,62,15,0.2492135903239059,15.451242600082166,0.4838709677419355,1.2166284111286685,0.375,0.35135135135135137,2.22972972972973,83,1.1081081081081081,41,1.7297297297297296,64,0.19571770988190343,0.5510204081632653,1.0391609108285942,0.4508519089129921,0.23076923076923078,2.8138359138293376,0.0670712998129181,2.481638093077969,0.4864864864864865,0.9413780683553747,0.5310938573192127,12.746252575661103,0.4583333333333333,1.7573359247382017
