id,week,team,points,talent,outcome,spread,home,win,cover,totalYards,rushingYards,netPassingYards,yardsPerPass,yardsPerRushAttempt,firstDowns,turnovers,defensiveTDs,sacks,kickReturnYards,kickReturnTDs,points_MA,totalYards_MA,rushYards_MA,passYards_MA,firstDowns_MA,turnovers_MA,defensiveTDs_MA,sacks_MA,kickReturnYards_MA,kickReturnTDs_MA
401110723,1,Florida,24,835.68,-4,-7.0,1,1,0,304,50,254,9.4,1.8,17,4,0,20,44,0,,,,,,,,,,
401112497,10,Florida State,10,878.07,17,-3.0,1,0,0,203,31,172,6.1,0.8,15,2,0,2,23,0,25.0,389.5,141.5,248.0,21.5,1.5,0.0,2.75,33.5,0.0
401112443,2,North Carolina,28,697.75,-3,5.0,1,1,1,389,97,292,11.7,2.7,22,0,0,4,0,0,24.0,483.0,238.0,245.0,23.0,1.0,0.0,3.0,13.0,0.0
401112494,9,Pittsburgh,12,637.95,4,-4.5,1,0,0,322,176,146,4.6,4.2,16,3,0,2,13,0,28.0,399.0,145.5,253.5,24.5,2.0,0.75,6.75,35.25,0.0
401112523,14,Duke,27,633.24,-10,9.5,1,1,1,287,131,156,6.2,2.7,14,1,0,9,112,0,14.25,273.75,111.0,162.75,16.0,3.0,0.5,1.75,121.0,0.5
401112517,13,Florida International,30,532.88,-6,21.0,1,1,1,297,137,160,5.3,4.7,17,0,0,0.5,24,0,20.0,336.75,130.75,206.0,16.75,1.5,0.0,1.5,52.75,0.0
401110775,2,Florida,45,835.68,-45,-44.5,1,1,1,543,231,312,8.7,6.1,26,0,0,5,34,0,24.0,304.0,50.0,254.0,17.0,4.0,0.0,20.0,44.0,0.0
401110858,13,Kentucky,50,672.74,-43,-30.5,1,1,1,479,462,17,1.5,10.3,16,2,0,6,17,0,20.0,348.0,290.0,58.0,18.75,1.25,0.0,2.25,23.5,0.0
401110799,4,Florida,34,835.68,-31,-13.5,1,1,1,441,128,313,9.2,3.5,25,3,0,4,0,0,32.666666666666664,428.3333333333333,139.66666666666666,288.6666666666667,21.333333333333332,2.0,0.0,8.666666666666666,26.0,0.0
401110846,11,Kentucky,13,672.74,4,-1.5,1,0,0,327,302,25,3.6,4.7,21,1,0,1,19,0,15.0,291.75,225.5,66.25,13.5,1.5,0.0,4.25,51.75,0.0
401110824,8,Alabama,35,984.96,-22,-35.0,1,1,0,373,140,233,9.7,4.1,23,1,2,6,43,0,50.5,526.5,140.5,386.0,25.5,0.75,0.75,3.0,54.25,0.0
401110861,13,Missouri,20,642.83,4,-2.5,1,0,0,280,99,181,6.2,2.7,16,0,0,1,0,0,6.75,259.0,95.0,164.0,14.5,1.25,0.0,1.5,24.75,0.0
401110809,5,Florida,38,835.68,-38,-37.0,1,1,1,422,160,262,9.4,5.0,23,0,0,8,11,0,33.0,431.5,136.75,294.75,22.25,2.25,0.0,7.5,19.5,0.0
401110812,6,Florida,24,835.68,-11,2.5,1,1,1,398,132,266,6.8,4.0,19,4,0,2,0,0,36.5,461.0,164.25,296.75,23.75,1.25,0.0,4.5,11.25,0.0
401110804,4,Texas A&M,20,848.89,8,-4.0,1,0,0,391,56,335,6.8,2.7,23,1,0,2,20,0,37.666666666666664,466.6666666666667,174.0,292.6666666666667,25.0,2.0,0.0,1.6666666666666667,11.666666666666666,0.0
401110825,8,Arkansas,10,707.72,41,19.5,1,0,0,234,52,182,4.6,1.9,14,4,0,2,55,0,31.5,426.75,156.75,270.0,22.75,1.75,1.0,3.25,33.75,0.0
401110833,9,LSU,23,906.17,-3,-11.5,1,1,0,508,187,321,7.6,4.1,30,2,0,3,0,0,46.5,531.0,183.25,347.75,25.25,1.0,0.25,3.25,37.5,0.0
